Date,Visitor/Neutral,PTS,Home/Neutral,PTS,WLoc,WTeam,LTeam
Thu Nov 16 2017,Houston Rockets,142,Phoenix Suns,116,V,Houston Rockets,Phoenix Suns
Fri Nov 17 2017,Utah Jazz,107,Brooklyn Nets,118,H,Brooklyn Nets,Utah Jazz
Fri Nov 17 2017,Charlotte Hornets,120,Chicago Bulls,123,H,Chicago Bulls,Charlotte Hornets
Fri Nov 17 2017,Los Angeles Clippers,113,Cleveland Cavaliers,118,H,Cleveland Cavaliers,Los Angeles Clippers
Fri Nov 17 2017,Minnesota Timberwolves,111,Dallas Mavericks,87,V,Minnesota Timberwolves,Dallas Mavericks
Fri Nov 17 2017,New Orleans Pelicans,114,Denver Nuggets,146,H,Denver Nuggets,New Orleans Pelicans
Fri Nov 17 2017,Detroit Pistons,100,Indiana Pacers,107,H,Indiana Pacers,Detroit Pistons
Fri Nov 17 2017,Phoenix Suns,122,Los Angeles Lakers,113,V,Phoenix Suns,Los Angeles Lakers
Fri Nov 17 2017,Portland Trail Blazers,82,Sacramento Kings,86,H,Sacramento Kings,Portland Trail Blazers
Fri Nov 17 2017,Oklahoma City Thunder,101,San Antonio Spurs,104,H,San Antonio Spurs,Oklahoma City Thunder
Fri Nov 17 2017,New York Knicks,84,Toronto Raptors,107,H,Toronto Raptors,New York Knicks
Fri Nov 17 2017,Miami Heat,91,Washington Wizards,88,V,Miami Heat,Washington Wizards
Sat Nov 18 2017,Boston Celtics,110,Atlanta Hawks,99,V,Boston Celtics,Atlanta Hawks
Sat Nov 18 2017,Los Angeles Clippers,87,Charlotte Hornets,102,H,Charlotte Hornets,Los Angeles Clippers
Sat Nov 18 2017,Milwaukee Bucks,79,Dallas Mavericks,111,H,Dallas Mavericks,Milwaukee Bucks
Sat Nov 18 2017,Houston Rockets,105,Memphis Grizzlies,83,V,Houston Rockets,Memphis Grizzlies
Sat Nov 18 2017,Utah Jazz,125,Orlando Magic,85,V,Utah Jazz,Orlando Magic
Sat Nov 18 2017,Golden State Warriors,124,Philadelphia 76ers,116,V,Golden State Warriors,Philadelphia 76ers
Sat Nov 18 2017,Sacramento Kings,90,Portland Trail Blazers,102,H,Portland Trail Blazers,Sacramento Kings
Sun Nov 19 2017,Golden State Warriors,118,Brooklyn Nets,111,V,Golden State Warriors,Brooklyn Nets
Sun Nov 19 2017,Denver Nuggets,109,Los Angeles Lakers,127,H,Los Angeles Lakers,Denver Nuggets
Sun Nov 19 2017,Indiana Pacers,120,Miami Heat,95,V,Indiana Pacers,Miami Heat
Sun Nov 19 2017,Detroit Pistons,100,Minnesota Timberwolves,97,V,Detroit Pistons,Minnesota Timberwolves
Sun Nov 19 2017,Chicago Bulls,105,Phoenix Suns,113,H,Phoenix Suns,Chicago Bulls
Sun Nov 19 2017,Washington Wizards,91,Toronto Raptors,100,H,Toronto Raptors,Washington Wizards
Mon Nov 20 2017,Minnesota Timberwolves,102,Charlotte Hornets,118,H,Charlotte Hornets,Minnesota Timberwolves
Mon Nov 20 2017,Boston Celtics,110,Dallas Mavericks,102,V,Boston Celtics,Dallas Mavericks
Mon Nov 20 2017,Cleveland Cavaliers,116,Detroit Pistons,88,V,Cleveland Cavaliers,Detroit Pistons
